index,cost,sim_edges_bestLO,sim_nodes_bestLO,sim_edges_ILS,sim_nodes_ILS,avg_sim_edges_all,avg_sim_nodes_all
0,74395.0,50,90,54,89,44.592592592592595,87.53653653653653
1,74032.0,47,90,50,89,45.7967967967968,87.53453453453453
2,73483.0,55,91,54,93,46.114114114114116,87.97997997997997
3,72792.0,54,92,55,92,48.63963963963964,88.56556556556556
4,72277.0,50,91,56,92,48.152152152152155,89.2072072072072
5,74537.0,51,90,50,89,46.051051051051054,88.31631631631632
6,73720.0,55,93,52,91,42.86386386386386,86.98198198198199
7,72311.0,50,91,54,91,48.787787787787785,89.64664664664664
8,71454.0,58,92,62,95,46.528528528528525,88.45945945945945
9,73523.0,46,90,49,91,43.64264264264264,87.22722722722723
10,74784.0,48,91,53,92,43.87487487487488,88.52952952952953
11,74659.0,40,89,50,90,43.848848848848846,88.7987987987988
12,73290.0,55,93,49,91,47.23823823823824,88.5915915915916
13,74777.0,51,89,58,88,45.16516516516516,87.54654654654655
14,73317.0,52,90,57,90,46.688688688688686,88.18418418418419
15,73897.0,54,92,53,90,45.710710710710714,88.71471471471472
16,72777.0,56,91,62,93,48.93993993993994,89.21121121121121
17,72816.0,51,91,56,90,46.2052052052052,87.71971971971972
18,74119.0,48,88,47,87,44.81681681681682,87.70770770770771
19,76333.0,41,88,43,88,40.8958958958959,86.72872872872873
20,71643.0,52,92,55,94,47.031031031031034,88.61661661661661
21,75001.0,47,89,63,88,45.354354354354356,86.74474474474475
22,73760.0,49,87,60,87,48.268268268268265,87.15215215215215
23,73385.0,48,89,52,90,46.04204204204204,88.58158158158159
24,74676.0,42,91,46,91,42.792792792792795,88.51151151151151
25,72836.0,52,93,58,92,48.250250250250254,89.45345345345345
26,74484.0,45,89,48,89,43.87587587587588,88.38538538538539
27,74072.0,55,89,45,89,43.927927927927925,88.43543543543544
28,73216.0,54,88,59,90,46.64264264264264,88.4104104104104
29,74726.0,42,88,46,90,42.7007007007007,87.5975975975976
30,72809.0,55,91,59,92,47.56356356356356,88.77977977977977
31,73319.0,50,91,50,89,46.55555555555556,89.24924924924925
32,73315.0,48,88,50,91,42.746746746746744,86.72272272272272
33,74968.0,48,87,56,89,46.168168168168165,87.995995995996
34,75215.0,47,91,55,90,42.91491491491492,88.29729729729729
35,72394.0,50,91,49,91,47.27527527527528,89.56756756756756
36,74085.0,56,89,58,88,45.0960960960961,85.51551551551552
37,73287.0,54,93,58,93,45.453453453453456,87.87787787787788
38,74069.0,46,89,52,88,45.229229229229226,87.91391391391392
39,75317.0,46,88,50,88,44.268268268268265,87.36036036036036
40,74455.0,46,88,48,87,43.907907907907905,87.73473473473473
41,74875.0,47,89,52,88,45.007007007007005,88.18618618618619
42,74404.0,51,86,52,86,47.47847847847848,86.42642642642643
43,74247.0,51,92,50,90,46.12212212212212,89.04704704704704
44,74627.0,45,89,48,90,42.606606606606604,87.54154154154155
45,73346.0,57,91,57,91,47.432432432432435,89.07907907907908
46,73982.0,55,89,51,87,45.826826826826824,86.3903903903904
47,74992.0,42,90,48,89,42.792792792792795,88.73873873873873
48,75581.0,44,88,44,86,42.665665665665664,86.61761761761761
49,73481.0,52,89,50,90,47.85985985985986,88.8108108108108
50,74929.0,47,87,57,89,45.33933933933934,86.6026026026026
51,74016.0,53,91,56,89,45.78178178178178,88.18218218218219
52,75269.0,45,90,51,88,44.36236236236236,88.11211211211211
53,74218.0,49,92,55,91,47.850850850850854,88.46146146146147
54,74302.0,51,91,51,91,44.74174174174174,86.83383383383384
55,73395.0,43,89,50,90,46.346346346346344,89.03603603603604
56,74021.0,44,89,58,90,43.97697697697698,87.54054054054055
57,73472.0,46,93,50,92,45.5045045045045,88.41741741741741
58,72427.0,58,93,54,90,48.453453453453456,89.29029029029029
59,72052.0,53,91,56,90,47.688688688688686,88.18318318318319
60,73288.0,51,88,53,88,46.2002002002002,87.30830830830831
61,74152.0,53,87,54,84,47.054054054054056,86.21421421421421
62,72328.0,53,91,59,90,47.805805805805804,86.94594594594595
63,73453.0,57,92,53,90,48.046046046046044,89.5975975975976
64,74159.0,49,89,50,86,46.886886886886884,87.56856856856857
65,73014.0,57,93,53,93,47.72272272272272,89.58158158158159
66,74810.0,47,87,43,86,43.768768768768766,86.86286286286287
67,74222.0,47,90,50,91,44.01601601601602,87.93693693693693
68,72808.0,53,93,55,90,47.389389389389386,89.07807807807808
69,75629.0,41,87,41,85,42.45845845845846,86.70270270270271
70,74061.0,49,87,50,85,47.72272272272272,87.09809809809809
71,73249.0,47,92,51,93,42.87487487487488,88.43343343343344
72,72400.0,52,92,58,91,48.45545545545546,89.77777777777777
73,74805.0,52,90,50,89,46.05705705705706,88.27727727727728
74,76005.0,44,83,51,82,44.26226226226226,84.08108108108108
75,73097.0,54,92,55,89,46.368368368368365,88.01701701701701
76,73501.0,46,90,53,90,44.76076076076076,87.995995995996
77,75662.0,53,88,46,86,43.9029029029029,87.64964964964965
78,74288.0,50,93,44,89,43.97497497497498,87.98698698698699
79,74810.0,38,85,49,88,42.48248248248248,86.67567567567568
80,74575.0,39,87,48,88,44.31831831831832,87.77177177177177
81,74108.0,52,92,51,90,46.35835835835836,88.71971971971972
82,72530.0,54,91,54,90,47.14314314314314,88.64664664664664
83,73225.0,48,89,54,91,45.83883883883884,87.92592592592592
84,72590.0,50,89,58,91,46.28128128128128,88.70570570570571
85,75755.0,43,88,53,88,45.16016016016016,87.988988988989
86,74907.0,47,89,45,89,44.58458458458458,88.90290290290291
87,73096.0,51,91,60,91,47.286286286286284,88.43143143143143
88,73137.0,48,91,56,93,45.289289289289286,88.92692692692692
89,73602.0,55,90,51,88,47.371371371371374,87.7897897897898
90,75664.0,49,87,48,86,44.730730730730734,86.61161161161161
91,73460.0,51,89,54,90,45.925925925925924,88.56556556556556
92,73227.0,52,91,56,89,46.33833833833834,88.12312312312312
93,74101.0,43,90,53,89,44.128128128128125,88.14614614614615
94,74289.0,48,86,50,87,43.91691691691692,85.96696696696696
95,73907.0,48,91,52,92,44.246246246246244,88.70670670670671
96,76120.0,38,85,43,85,42.02002002002002,85.92392392392392
