run_id,cost,route
1,69902.0,[123|112|4|84|35|184|177|54|48|160|34|146|22|18|69|108|140|93|117|0|143|183|89|186|23|137|176|80|51|59|118|46|68|139|115|41|193|159|181|42|43|116|65|149|162|151|133|79|63|94|124|148|9|62|144|14|49|178|106|52|55|185|40|165|39|27|90|81|196|179|57|129|92|145|78|31|56|113|175|171|16|25|44|120|2|75|86|101|1|152|97|26|100|121|53|180|154|135|70|127|123]
2,69517.0,[106|178|52|55|57|129|92|179|145|78|31|113|175|171|16|25|44|120|2|75|86|101|1|152|97|26|100|53|180|154|135|70|127|123|149|65|116|43|42|184|84|112|4|190|10|177|54|48|160|34|181|146|22|18|108|159|193|41|139|115|46|68|140|93|117|0|143|183|89|23|137|176|80|51|118|59|162|151|133|79|63|94|124|148|9|62|102|49|14|144|21|7|164|27|90|81|196|40|165|185|106]
3,69738.0,[35|184|43|116|65|59|118|51|151|133|162|123|127|70|135|154|180|53|100|26|97|152|1|101|86|75|2|120|44|25|16|171|175|113|56|31|157|81|196|179|145|78|92|129|57|55|52|178|106|185|40|90|165|138|14|49|102|144|62|9|148|124|94|63|79|80|176|137|23|89|183|143|0|117|93|140|108|18|22|146|159|193|41|139|68|46|115|5|42|181|34|160|48|54|177|10|190|4|112|84|35]
4,69633.0,[101|1|152|97|26|100|121|53|180|154|135|70|127|123|162|151|51|118|59|149|65|116|43|42|184|84|112|4|190|10|177|54|48|160|34|181|146|22|18|108|69|159|193|41|139|115|46|68|140|93|117|0|143|183|89|23|137|176|80|133|79|63|94|124|148|9|62|144|102|49|14|138|165|90|81|196|40|185|106|178|52|55|57|92|179|145|78|31|56|113|175|171|16|25|44|120|129|2|75|86|101]
5,69577.0,[165|119|40|185|179|145|78|92|129|57|55|52|106|178|49|14|144|62|9|148|124|94|63|79|80|176|137|23|89|183|143|0|117|93|140|108|69|18|22|146|159|193|41|139|68|46|115|59|118|51|151|133|162|149|65|116|43|42|181|34|160|48|54|177|184|35|84|4|112|123|127|70|135|154|180|53|100|26|86|75|101|1|97|152|2|120|44|25|16|171|175|113|56|31|157|196|81|90|27|39|165]
6,69682.0,[175|171|16|25|44|120|2|152|97|1|101|75|86|26|100|53|180|154|135|70|127|123|112|4|84|35|184|177|54|48|160|34|181|42|43|116|65|149|162|133|151|51|118|59|115|139|41|193|159|146|22|18|108|140|93|68|46|0|117|143|183|89|23|137|176|80|79|63|94|124|148|9|62|102|49|14|144|21|7|164|27|90|81|196|185|40|165|106|178|52|55|57|129|92|179|145|78|31|56|113|175]
7,69525.0,[148|9|62|102|49|14|144|21|7|164|27|90|81|196|40|165|185|106|178|52|55|57|129|92|179|145|78|31|56|113|175|171|16|25|44|120|2|75|86|101|1|152|97|26|100|53|180|154|135|70|127|112|4|84|184|177|54|48|160|34|181|42|43|116|65|149|123|162|133|151|51|118|59|115|46|68|139|41|193|159|146|22|18|69|108|140|93|117|0|143|183|89|23|137|176|80|79|63|94|124|148]
8,69423.0,[149|131|65|116|43|42|181|34|160|48|54|177|10|190|184|35|84|4|112|123|127|70|135|154|180|53|100|26|97|152|1|101|86|75|2|120|44|25|16|171|175|113|56|31|78|145|196|81|90|165|40|185|179|92|129|57|55|52|106|178|3|14|144|49|102|62|9|148|124|94|63|79|133|80|176|137|23|89|183|143|0|117|93|140|108|18|22|146|159|193|41|139|68|46|115|59|118|51|151|162|149]
9,69597.0,[86|26|100|53|180|154|135|70|127|123|112|4|84|184|190|10|177|54|48|160|34|181|42|43|116|65|149|162|151|51|118|59|115|46|68|139|41|193|159|146|22|18|108|140|93|117|0|143|183|89|23|137|176|80|133|79|63|94|124|148|9|62|144|14|49|178|106|52|55|185|40|165|39|27|90|81|196|157|31|56|113|175|171|16|78|145|179|57|92|129|82|25|44|120|2|152|97|1|101|75|86]
10,69785.0,[123|112|4|84|35|184|177|54|48|160|34|146|22|18|108|140|93|117|0|143|183|89|186|23|137|176|80|51|118|59|115|46|68|139|41|193|159|181|42|43|116|65|149|162|151|133|79|63|94|124|148|9|62|102|49|144|14|3|178|106|52|55|57|185|40|165|90|81|196|179|145|78|31|56|113|175|171|16|25|44|120|82|92|129|2|152|97|1|101|75|86|26|100|121|53|180|154|135|70|127|123]
